"time_from","time_to","tile_from","tile_to","probL"
430,440,1362,1361,3.15420554484176e-27
440,450,1362,1361,3.16767411810021e-27
450,460,1362,1361,3.18119233654126e-27
460,470,1362,1361,3.19476015910349e-27
470,480,1362,1361,3.20837753635359e-27
480,490,1362,1361,3.2220444101847e-27
490,500,1362,1361,3.23576071350487e-27
500,510,1362,1361,3.24952636991522e-27
510,520,1362,1361,3.26334129337764e-27
520,530,1362,1361,3.27720538787145e-27
530,540,1362,1361,3.2911185470389e-27
540,550,1362,1361,3.30508065381897e-27
550,560,1362,1361,3.31909158006919e-27
560,570,1362,1361,3.33315118617504e-27
570,580,1362,1361,3.34725932064655e-27
580,590,1362,1361,3.36141581970171e-27
590,600,1362,1361,3.37562050683616e-27
600,610,1362,1361,3.38987319237888e-27
610,620,1362,1361,3.40417367303322e-27
620,630,1362,1361,3.41852173140302e-27
630,640,1362,1361,3.43291713550314e-27
640,650,1362,1361,3.44735963825399e-27
650,660,1362,1361,3.46184897695953e-27
660,670,1362,1361,3.47638487276821e-27
670,680,1362,1361,3.49096703011629e-27
680,690,1362,1361,3.50559513615289e-27
690,700,1362,1361,3.52026886014633e-27
700,710,1362,1361,3.53498785287107e-27
710,720,1362,1361,3.54975174597452e-27
720,730,1362,1361,3.56456015132331e-27
730,740,1362,1361,3.57941266032807e-27
740,750,1362,1361,3.59430884324628e-27
750,760,1362,1361,3.6092482484623e-27
760,770,1362,1361,3.62423040174536e-27
770,780,1362,1361,3.63925480554317e-27
780,790,1362,1361,3.65432094087563e-27
790,800,1362,1361,3.66942838426363e-27
800,810,1362,1361,3.68458197044897e-27
810,820,1362,1361,3.70001827366272e-27
820,830,1362,1361,3.72614019372599e-27
830,840,1362,1361,4.21930695752653e-27
840,850,1362,1361,2.51983587478411e-26
850,860,1362,1361,9.44820064419251e-25
860,870,1362,1361,4.12848120670772e-23
870,880,1362,1361,1.81086202880144e-21
880,890,1362,1361,7.9436185999415e-20
0,10,1320,1361,0
10,20,1320,1361,0
20,30,1320,1361,0
30,40,1320,1361,0
40,50,1320,1361,0
50,60,1320,1361,0
60,70,1320,1361,0
70,80,1320,1361,0
80,90,1320,1361,0
90,100,1320,1361,0
100,110,1320,1361,0
110,120,1320,1361,0
120,130,1320,1361,0
130,140,1320,1361,0
140,150,1320,1361,0
150,160,1320,1361,0
160,170,1320,1361,0
170,180,1320,1361,0
180,190,1320,1361,0
190,200,1320,1361,0
200,210,1320,1361,0
210,220,1320,1361,0
220,230,1320,1361,0
230,240,1320,1361,0
240,250,1320,1361,0
250,260,1320,1361,0
260,270,1320,1361,0
270,280,1320,1361,0
280,290,1320,1361,0
290,300,1320,1361,0
300,310,1320,1361,0
310,320,1320,1361,0
320,330,1320,1361,0
330,340,1320,1361,0
340,350,1320,1361,0
350,360,1320,1361,0
360,370,1320,1361,0
370,380,1320,1361,0
380,390,1320,1361,0
390,400,1320,1361,0
400,410,1320,1361,0
410,420,1320,1361,0
420,430,1320,1361,0
430,440,1320,1361,0
440,450,1320,1361,0
450,460,1320,1361,0
460,470,1320,1361,0
470,480,1320,1361,0
480,490,1320,1361,0
490,500,1320,1361,0
500,510,1320,1361,0
510,520,1320,1361,0
520,530,1320,1361,0
530,540,1320,1361,0
540,550,1320,1361,0
550,560,1320,1361,0
560,570,1320,1361,0
570,580,1320,1361,0
580,590,1320,1361,0
590,600,1320,1361,0
600,610,1320,1361,0
610,620,1320,1361,0
620,630,1320,1361,0
630,640,1320,1361,0
640,650,1320,1361,0
650,660,1320,1361,0
660,670,1320,1361,0
670,680,1320,1361,0
680,690,1320,1361,0
690,700,1320,1361,0
700,710,1320,1361,0
710,720,1320,1361,0
720,730,1320,1361,0
730,740,1320,1361,0
740,750,1320,1361,0
750,760,1320,1361,0
760,770,1320,1361,0
770,780,1320,1361,0
780,790,1320,1361,0
790,800,1320,1361,0
800,810,1320,1361,0
810,820,1320,1361,0
820,830,1320,1361,0
830,840,1320,1361,0
840,850,1320,1361,0
850,860,1320,1361,0
860,870,1320,1361,0
870,880,1320,1361,0
880,890,1320,1361,0
0,10,1321,1361,8.44448407183628e-19
10,20,1321,1361,8.44477844410496e-19
20,30,1321,1361,8.44506527567327e-19
30,40,1321,1361,8.4453444313447e-19
40,50,1321,1361,8.44561576317474e-19
50,60,1321,1361,8.44587911857984e-19
60,70,1321,1361,8.44613434039553e-19
70,80,1321,1361,8.44638126675336e-19
80,90,1321,1361,8.44661973095061e-19
90,100,1321,1361,8.44684956131634e-19
100,110,1321,1361,8.44707058107354e-19
110,120,1321,1361,8.44728260819753e-19
120,130,1321,1361,8.44748545527028e-19
130,140,1321,1361,8.44767892933069e-19
140,150,1321,1361,8.44786283172062e-19
150,160,1321,1361,8.44803695792659e-19
160,170,1321,1361,8.44820109741705e-19
170,180,1321,1361,8.44835503347506e-19
180,190,1321,1361,8.44849854302624e-19
190,200,1321,1361,8.44863139646193e-19
200,210,1321,1361,8.44875335745734e-19
210,220,1321,1361,8.44886418278461e-19
220,230,1321,1361,8.44896362212055e-19
230,240,1321,1361,8.44905141784912e-19
240,250,1321,1361,8.44912730485819e-19
250,260,1321,1361,8.4491910103307e-19
260,270,1321,1361,8.44924225352991e-19
270,280,1321,1361,8.44928074557862e-19
280,290,1321,1361,8.44930618923219e-19
290,300,1321,1361,8.44931827864522e-19
300,310,1321,1361,8.44931669913154e-19
310,320,1321,1361,8.44930112691769e-19
320,330,1321,1361,8.44927122888923e-19
330,340,1321,1361,8.44922666233008e-19
340,350,1321,1361,8.44916707465452e-19
350,360,1321,1361,8.4490921031316e-19
360,370,1321,1361,8.44900137460189e-19
370,380,1321,1361,8.4488945051862e-19
380,390,1321,1361,8.44877109998618e-19
390,400,1321,1361,8.44863075277652e-19
400,410,1321,1361,8.44847304568841e-19
410,420,1321,1361,8.44829754888426e-19
420,430,1321,1361,8.44810382022319e-19
430,440,1321,1361,8.44789140491712e-19
440,450,1321,1361,8.4476598351773e-19
450,460,1321,1361,8.4474086298508e-19
460,470,1321,1361,8.44713729404691e-19
470,480,1321,1361,8.44684531875294e-19
480,490,1321,1361,8.44653218043934e-19
490,500,1321,1361,8.44619734065371e-19
500,510,1321,1361,8.44584024560332e-19
510,520,1321,1361,8.44546032572606e-19
520,530,1321,1361,8.4450569952493e-19
530,540,1321,1361,8.44462965173627e-19
540,550,1321,1361,8.44417767561986e-19
550,560,1321,1361,8.44370042972327e-19
560,570,1321,1361,8.44319725876716e-19
570,580,1321,1361,8.44266748886308e-19
580,590,1321,1361,8.44211042699259e-19
590,600,1321,1361,8.44152536047181e-19
600,610,1321,1361,8.44091155640096e-19
610,620,1321,1361,8.4402682610984e-19
620,630,1321,1361,8.43959469951881e-19
630,640,1321,1361,8.43889007465514e-19
640,650,1321,1361,8.4381535669236e-19
650,660,1321,1361,8.43738433353156e-19
660,670,1321,1361,8.43658150782764e-19
670,680,1321,1361,8.43574419863356e-19
680,690,1321,1361,8.43487148955728e-19
690,700,1321,1361,8.43396243828685e-19
700,710,1321,1361,8.43301607586444e-19
710,720,1321,1361,8.43203140594004e-19
720,730,1321,1361,8.43100740400419e-19
730,740,1321,1361,8.42994301659919e-19
740,750,1321,1361,8.4288371605082e-19
750,760,1321,1361,8.42768872192163e-19
760,770,1321,1361,8.42649655558341e-19
770,780,1321,1361,8.42525948405191e-19
780,790,1321,1361,8.42397630298397e-19
790,800,1321,1361,8.42264605034044e-19
800,810,1321,1361,8.42127980108285e-19
810,820,1321,1361,8.42041583095701e-19
820,830,1321,1361,8.44362061877069e-19
830,840,1321,1361,9.52029812109217e-19
840,850,1321,1361,5.66137133303942e-18
850,860,1321,1361,2.11367645243644e-16
860,870,1321,1361,9.19644086891857e-15
870,880,1321,1361,4.0165664496261e-13
880,890,1321,1361,1.75439812720655e-11
0,10,1322,1361,0
10,20,1322,1361,0
20,30,1322,1361,0
30,40,1322,1361,0
40,50,1322,1361,0
50,60,1322,1361,0
60,70,1322,1361,0
70,80,1322,1361,0
80,90,1322,1361,0
90,100,1322,1361,0
100,110,1322,1361,0
110,120,1322,1361,0
120,130,1322,1361,0
130,140,1322,1361,0
140,150,1322,1361,0
150,160,1322,1361,0
160,170,1322,1361,0
170,180,1322,1361,0
180,190,1322,1361,0
190,200,1322,1361,0
200,210,1322,1361,0
210,220,1322,1361,0
220,230,1322,1361,0
230,240,1322,1361,0
240,250,1322,1361,0
250,260,1322,1361,0
260,270,1322,1361,0
270,280,1322,1361,0
280,290,1322,1361,0
290,300,1322,1361,0
300,310,1322,1361,0
310,320,1322,1361,0
320,330,1322,1361,0
330,340,1322,1361,0
340,350,1322,1361,0
350,360,1322,1361,0
360,370,1322,1361,0
370,380,1322,1361,0
380,390,1322,1361,0
390,400,1322,1361,0
400,410,1322,1361,0
410,420,1322,1361,0
420,430,1322,1361,0
430,440,1322,1361,0
440,450,1322,1361,0
450,460,1322,1361,0
460,470,1322,1361,0
470,480,1322,1361,0
480,490,1322,1361,0
490,500,1322,1361,0
500,510,1322,1361,0
510,520,1322,1361,0
520,530,1322,1361,0
530,540,1322,1361,0
540,550,1322,1361,0
550,560,1322,1361,0
560,570,1322,1361,0
570,580,1322,1361,0
580,590,1322,1361,0
590,600,1322,1361,0
600,610,1322,1361,0
610,620,1322,1361,0
620,630,1322,1361,0
630,640,1322,1361,0
640,650,1322,1361,0
650,660,1322,1361,0
660,670,1322,1361,0
670,680,1322,1361,0
680,690,1322,1361,0
690,700,1322,1361,0
700,710,1322,1361,0
710,720,1322,1361,0
720,730,1322,1361,0
730,740,1322,1361,0
740,750,1322,1361,0
750,760,1322,1361,0
760,770,1322,1361,0
770,780,1322,1361,0
780,790,1322,1361,0
790,800,1322,1361,0
800,810,1322,1361,0
810,820,1322,1361,0
820,830,1322,1361,0
830,840,1322,1361,0
840,850,1322,1361,0
850,860,1322,1361,0
860,870,1322,1361,0
870,880,1322,1361,0
880,890,1322,1361,0
0,10,1361,1362,7.94361859994153e-20
10,20,1361,1362,1.81086202880145e-21
20,30,1361,1362,4.12848120670774e-23
30,40,1361,1362,9.44820064419256e-25
40,50,1361,1362,2.51983587478412e-26
50,60,1361,1362,4.21930695752654e-27
60,70,1361,1362,3.726140193726e-27
70,80,1361,1362,3.70001827366272e-27
80,90,1361,1362,3.68458197044897e-27
90,100,1361,1362,3.66942838426363e-27
100,110,1361,1362,3.65432094087563e-27
110,120,1361,1362,3.63925480554317e-27
120,130,1361,1362,3.62423040174537e-27
130,140,1361,1362,3.60924824846231e-27
140,150,1361,1362,3.59430884324628e-27
150,160,1361,1362,3.57941266032807e-27
160,170,1361,1362,3.56456015132331e-27
170,180,1361,1362,3.54975174597453e-27
