"time_from","time_to","tile_from","tile_to","probL"
0,10,1145,1145,0
10,20,1145,1145,0
20,30,1145,1145,0
30,40,1145,1145,0
40,50,1145,1145,0
50,60,1145,1145,0
60,70,1145,1145,2.03113010063238e-27
70,80,1145,1145,3.90654457463193e-27
80,90,1145,1145,4.75436965643039e-27
90,100,1145,1145,5.13764940829318e-27
100,110,1145,1145,5.31091991222552e-27
110,120,1145,1145,5.38925048784958e-27
120,130,1145,1145,5.42466110363465e-27
130,140,1145,1145,5.44066869209479e-27
140,150,1145,1145,5.44790467341828e-27
150,160,1145,1145,5.4511752485462e-27
160,170,1145,1145,5.4526531817872e-27
170,180,1145,1145,5.45332072624959e-27
180,190,1145,1145,5.45362193450613e-27
190,200,1145,1145,5.45375755201271e-27
200,210,1145,1145,5.45381833108872e-27
210,220,1145,1145,5.45384529885533e-27
220,230,1145,1145,5.45385700287535e-27
230,240,1145,1145,5.45386182823332e-27
240,250,1145,1145,5.45386356578438e-27
250,260,1145,1145,5.45386392942425e-27
260,270,1145,1145,5.45386369408697e-27
270,280,1145,1145,5.4538632102078e-27
280,290,1145,1145,5.45386263630115e-27
290,300,1145,1145,5.45386204410517e-27
300,310,1145,1145,5.45386146611673e-27
310,320,1145,1145,5.45386091708225e-27
320,330,1145,1145,5.45386040371456e-27
330,340,1145,1145,5.45385992908686e-27
340,350,1145,1145,5.45385949462021e-27
350,360,1145,1145,5.45385910098299e-27
360,370,1145,1145,5.45385874849838e-27
370,380,1145,1145,5.45385843732934e-27
380,390,1145,1145,5.45385816756285e-27
390,400,1145,1145,5.45385793924861e-27
400,410,1145,1145,5.45385775241695e-27
410,420,1145,1145,5.45385760708734e-27
420,430,1145,1145,5.45385750327254e-27
430,440,1145,1145,5.45385744098065e-27
440,450,1145,1145,5.4538574202162e-27
450,460,1145,1145,5.45385744098065e-27
460,470,1145,1145,5.45385750327254e-27
470,480,1145,1145,5.45385760708734e-27
480,490,1145,1145,5.45385775241695e-27
490,500,1145,1145,5.45385793924861e-27
500,510,1145,1145,5.45385816756285e-27
510,520,1145,1145,5.45385843732934e-27
520,530,1145,1145,5.45385874849839e-27
530,540,1145,1145,5.45385910098299e-27
