"time_from","time_to","tile_from","tile_to","probL"
0,10,473,473,0
10,20,473,473,0
20,30,473,473,0
30,40,473,473,0
40,50,473,473,1.41962269408447e-84
50,60,473,473,0
60,70,473,473,0
70,80,473,473,0
80,90,473,473,0
90,100,473,473,1.12238884705181e-92
100,110,473,473,3.44755117907656e-92
110,120,473,473,4.66894965232395e-92
120,130,473,473,5.32139786686208e-92
130,140,473,473,5.67990110682139e-92
140,150,473,473,5.88546213851468e-92
150,160,473,473,6.01031728954964e-92
160,170,473,473,6.09154335886842e-92
170,180,473,473,6.14828136895944e-92
180,190,473,473,6.19052892915453e-92
190,200,473,473,6.22361544080289e-92
200,210,473,473,6.25047569225047e-92
210,220,473,473,6.27280427302946e-92
220,230,473,473,6.29164241040931e-92
230,240,473,473,6.30767740869915e-92
240,250,473,473,6.32139663702908e-92
250,260,473,473,6.33316783756246e-92
260,270,473,473,6.34328199737774e-92
270,280,473,473,6.3519770774477e-92
280,290,473,473,6.35945183825083e-92
290,300,473,473,6.36587443969245e-92
300,310,473,473,6.37138819543992e-92
310,320,473,473,6.37611570400629e-92
320,330,473,473,6.38016199437138e-92
330,340,473,473,6.3836170275544e-92
340,350,473,473,6.38655774408984e-92
350,360,473,473,6.38904976887137e-92
360,370,473,473,6.39114884320279e-92
370,380,473,473,6.39290203099569e-92
380,390,473,473,6.39434873276241e-92
390,400,473,473,6.39552153277139e-92
400,410,473,473,6.39644689912804e-92
410,420,473,473,6.39714575242241e-92
420,430,473,473,6.39763391532125e-92
430,440,473,473,6.39792245274021e-92
440,450,473,473,6.39801790982078e-92
450,460,473,473,6.39792245274022e-92
460,470,473,473,6.39763391532126e-92
470,480,473,473,6.39714575242241e-92
480,490,473,473,6.39644689912805e-92
490,500,473,473,6.39552153277139e-92
500,510,473,473,6.39434873276241e-92
510,520,473,473,6.39290203099569e-92
520,530,473,473,6.39114884320279e-92
530,540,473,473,6.38904976887137e-92
540,550,473,473,6.38655774408985e-92
550,560,473,473,6.38361702755441e-92
560,570,473,473,6.38016199437138e-92
570,580,473,473,6.37611570400629e-92
580,590,473,473,6.37138819543992e-92
590,600,473,473,6.36587443969245e-92
600,610,473,473,6.35945183825084e-92
610,620,473,473,6.35197707744771e-92
620,630,473,473,6.34328199737776e-92
630,640,473,473,6.33316783756247e-92
640,650,473,473,6.32139663702909e-92
650,660,473,473,6.30767740869916e-92
660,670,473,473,6.29164241040933e-92
670,680,473,473,6.27280427302948e-92
680,690,473,473,6.25047569225048e-92
690,700,473,473,6.2236154408029e-92
700,710,473,473,6.19052892915454e-92
710,720,473,473,6.14828136895946e-92
720,730,473,473,6.09154335886844e-92
730,740,473,473,6.01031728954967e-92
740,750,473,473,5.88546213851472e-92
750,760,473,473,5.67990110682145e-92
760,770,473,473,5.32139786686216e-92
770,780,473,473,4.66894965232407e-92
780,790,473,473,3.44755117907675e-92
790,800,473,473,1.12238884705212e-92
800,810,473,473,0
810,820,473,473,0
820,830,473,473,0
830,840,473,473,0
840,850,473,473,1.419622694084e-84
850,860,473,473,0
860,870,473,473,0
870,880,473,473,0
880,890,473,473,0
0,10,474,473,0
10,20,474,473,0
20,30,474,473,0
30,40,474,473,1.22238953332319e-84
40,50,474,473,4.87983973649759e-88
50,60,474,473,0
60,70,474,473,0
70,80,474,473,0
80,90,474,473,0
90,100,474,473,0
100,110,474,473,0
110,120,474,473,0
120,130,474,473,0
130,140,474,473,0
140,150,474,473,0
150,160,474,473,0
160,170,474,473,0
170,180,474,473,0
180,190,474,473,0
190,200,474,473,0
200,210,474,473,0
210,220,474,473,0
220,230,474,473,0
230,240,474,473,0
240,250,474,473,0
250,260,474,473,0
260,270,474,473,0
270,280,474,473,0
280,290,474,473,0
290,300,474,473,0
300,310,474,473,0
310,320,474,473,0
320,330,474,473,0
330,340,474,473,0
340,350,474,473,0
350,360,474,473,0
360,370,474,473,0
370,380,474,473,0
380,390,474,473,0
390,400,474,473,0
400,410,474,473,0
