"time_from","time_to","tile_from","tile_to","probL"
880,890,1332,1372,1.40730624838258e-18
880,890,1333,1372,8.79133047414426e-17
880,890,1332,1373,1.5636739697616e-25
880,890,1333,1373,6.93792467158086e-06
880,890,1334,1373,8.65194961391011e-23
880,890,1333,1374,1.55575588234831e-12
880,890,1334,1374,1.37798102325737e-11
880,890,1335,1374,3.17971920056022e-29
880,890,1334,1375,3.26483390382722e-20
880,890,1335,1375,5.35086517121621e-20
880,890,1336,1375,5.40375244834274e-38
880,890,1335,1376,6.35940484154382e-29
880,890,1336,1376,4.56147494949109e-29
880,890,1337,1376,1.71256757632513e-47
880,890,1336,1377,5.41251227364944e-38
880,890,1337,1377,1.44330694371159e-38
880,890,1337,1378,1.71257367921041e-47
880,890,1332,1332,1.21987943736111e-17
880,890,1333,1332,2.04007557666864e-05
870,880,1292,1332,7.37589538259258e-16
880,890,1292,1332,1.16305091977165e-06
870,880,1293,1332,2.5596133521159e-14
880,890,1293,1332,4.54404056685436e-15
880,890,1332,1333,2.49043643692606e-14
880,890,1333,1333,4.12757981058662e-05
880,890,1334,1333,1.37798102325737e-11
870,880,1292,1333,2.14139678874413e-22
880,890,1292,1333,8.86939351952866e-14
870,880,1293,1333,0.00527805789257512
880,890,1293,1333,0.000246124461324876
870,880,1294,1333,2.55661912406386e-20
880,890,1294,1333,1.38162770206588e-11
880,890,1333,1334,0.00261534857580135
880,890,1334,1334,8.65302601392387e-13
880,890,1335,1334,5.34535924111746e-20
870,880,1293,1334,1.8814339031503e-11
880,890,1293,1334,5.82539694157439e-13
870,880,1294,1334,6.47289009439652e-11
880,890,1294,1334,0.0232262534494258
870,880,1295,1334,1.01134607895271e-28
880,890,1295,1334,1.06908464890205e-19
880,890,1334,1335,2.75594750294758e-11
880,890,1335,1335,1.6872152841667e-21
880,890,1336,1335,4.56147494949109e-29
870,880,1294,1335,1.0230684511756e-19
880,890,1294,1335,2.76324082207662e-11
870,880,1295,1335,1.13533398437711e-19
880,890,1295,1335,9.03377048468806e-11
870,880,1296,1335,5.81247870431063e-38
880,890,1296,1335,1.36844251888942e-28
880,890,1335,1336,5.35953912962525e-20
880,890,1336,1336,1.43599494517308e-30
880,890,1337,1336,1.44330690782281e-38
870,880,1295,1336,1.34857690389425e-28
880,890,1295,1336,1.07192066056057e-19
870,880,1296,1336,4.90377841841777e-29
880,890,1296,1336,1.15328736090504e-19
880,890,1297,1336,5.77322763129125e-38
880,890,1336,1337,4.56149902110972e-29
880,890,1337,1337,4.54364128425253e-40
870,880,1296,1337,5.8186641586504e-38
880,890,1296,1337,1.36844974037519e-28
880,890,1297,1337,4.8654989609564e-29
880,890,1337,1338,1.44330694371159e-38
880,890,1297,1338,5.77322777484637e-38
880,890,1332,1292,1.4157525309135e-15
880,890,1333,1292,8.84409373096388e-14
870,880,1292,1292,1.60581767709871e-16
880,890,1292,1292,1.33770341843607e-07
870,880,1293,1292,0.0001491829562643
880,890,1293,1292,1.39915768928641e-05
860,870,1252,1292,1.30880248539938e-15
870,880,1252,1292,4.26759062612605e-07
880,890,1252,1292,2.67826231169725e-08
860,870,1253,1292,4.48962298075216e-13
870,880,1253,1292,1.12224027377361e-14
880,890,1253,1292,1.29148641588325e-12
880,890,1332,1293,5.84658778843731e-23
880,890,1333,1293,0.00259409483347394
880,890,1334,1293,3.2349699449543e-20
870,880,1292,1293,4.48865834420967e-13
880,890,1292,1293,0.000147889833913579
870,880,1293,1293,0.000413266494853792
880,890,1293,1293,1.53297763819895e-05
870,880,1294,1293,5.35902072166901e-11
880,890,1294,1293,0.0230375043050048
860,870,1252,1293,1.68399697230476e-22
870,880,1252,1293,4.45594387935793e-14
880,890,1252,1293,1.10603339099789e-15
860,870,1253,1293,0.0410293324728087
870,880,1253,1293,0.000832262245188123
880,890,1253,1293,0.0378810801972286
860,870,1254,1293,1.38842782334465e-19
870,880,1254,1293,5.3591721427401e-11
880,890,1254,1293,2.07612586238244e-12
880,890,1333,1294,3.11142385046665e-12
880,890,1334,1294,2.75588417816667e-11
880,890,1335,1294,6.35925871832562e-29
870,880,1293,1294,0.0210725359586238
880,890,1293,1294,0.000492235014399276
870,880,1294,1294,2.70808764046469e-12
880,890,1294,1294,0.000733099266318091
870,880,1295,1294,1.13273320841406e-19
880,890,1295,1294,9.03356291123604e-11
860,870,1253,1294,8.60949484100905e-11
870,880,1253,1294,1.58519774078036e-12
880,890,1253,1294,4.54355387806918e-11
860,870,1254,1294,2.06930215772994e-10
870,880,1254,1294,0.072500055983524
880,890,1254,1294,0.00176866014627015
860,870,1255,1294,1.66475117235513e-28
870,880,1255,1294,2.26546641686306e-19
880,890,1255,1294,4.51681170207898e-11
880,890,1334,1295,3.27012640656977e-20
880,890,1335,1295,5.35953926289373e-20
880,890,1336,1295,5.41251227364944e-38
870,880,1294,1295,8.63121015754473e-11
880,890,1294,1295,0.0232878674148934
870,880,1295,1295,3.57789244360409e-21
880,890,1295,1295,2.84391544798062e-12
870,880,1296,1295,4.90375059220229e-29
880,890,1296,1295,1.15328738958229e-19
860,870,1254,1295,2.91263881611519e-19
870,880,1254,1295,8.63145403551325e-11
880,890,1254,1295,2.09868843342072e-12
860,870,1255,1295,1.66429165431065e-19
870,880,1255,1295,1.9156697104778e-10
880,890,1255,1295,0.0380673766120403
870,880,1256,1295,1.47112517766069e-28
880,890,1256,1295,1.15328738960734e-19
880,890,1335,1296,6.35943840112043e-29
880,890,1336,1296,4.56149902110972e-29
880,890,1337,1296,1.71257661381279e-47
870,880,1295,1296,1.13654217057065e-19
880,890,1295,1296,9.03381815731156e-11
870,880,1296,1296,1.54375123875973e-30
880,890,1296,1296,3.63063741828781e-21
880,890,1297,1296,4.8654989609564e-29
860,870,1255,1296,1.97694869162459e-28
870,880,1255,1296,2.27308434117636e-19
880,890,1255,1296,4.51693932597136e-11
870,880,1256,1296,1.23982939754612e-19
880,890,1256,1296,9.71955172159819e-11
880,890,1257,1296,7.29824844143461e-29
880,890,1336,1297,5.41251227364944e-38
