"time_from","time_to","tile_from","tile_to","probL"
160,170,1071,1071,5.6646090418238e-35
170,180,1071,1071,5.05324439460236e-31
180,190,1071,1071,8.91791184442344e-29
190,200,1071,1071,1.85456706089845e-28
200,210,1071,1071,2.74267977861489e-28
210,220,1071,1071,3.52942808928339e-28
220,230,1071,1071,4.20883274920167e-28
230,240,1071,1071,4.78061598992006e-28
240,250,1071,1071,5.24711491095783e-28
250,260,1071,1071,5.61214433501464e-28
260,270,1071,1071,5.88039262284022e-28
270,280,1071,1071,6.05706659041071e-28
280,290,1071,1071,6.14768264359957e-28
290,300,1071,1071,6.15794871564491e-28
300,310,1071,1071,6.09370325103266e-28
310,320,1071,1071,5.96089014382612e-28
320,330,1071,1071,5.76555642082364e-28
330,340,1071,1071,5.51386442508804e-28
340,350,1071,1071,5.21211338715102e-28
350,360,1071,1071,4.8667672461683e-28
360,370,1071,1071,4.48448683230744e-28
370,380,1071,1071,4.07216532705466e-28
380,390,1071,1071,3.63696648766564e-28
390,400,1071,1071,3.18636567509688e-28
400,410,1071,1071,2.72819466688642e-28
410,420,1071,1071,2.27069363056985e-28
420,430,1071,1071,1.82258058735085e-28
430,440,1071,1071,1.39316951596388e-28
440,450,1071,1071,9.92630817233284e-29
450,460,1071,1071,6.32674422627535e-29
460,470,1071,1071,3.28472131824763e-29
470,480,1071,1071,1.03915425912047e-29
480,490,1071,1071,1.08572265353349e-31
490,500,1071,1071,9.45804562203624e-35
150,160,1072,1071,1.02832872341177e-40
160,170,1072,1071,3.96721795129011e-37
170,180,1072,1071,1.02291201787637e-34
180,190,1072,1071,1.80751133942488e-34
190,200,1072,1071,2.08330881321547e-34
200,210,1072,1071,2.11162249912307e-34
210,220,1072,1071,2.03962637910363e-34
220,230,1072,1071,1.93127560844172e-34
230,240,1072,1071,1.81260358572783e-34
240,250,1072,1071,1.69379783289505e-34
250,260,1072,1071,1.57859497195403e-34
260,270,1072,1071,1.46814593023411e-34
270,280,1072,1071,1.36258951468707e-34
280,290,1072,1071,1.2616902391966e-34
290,300,1072,1071,1.16509620528168e-34
300,310,1072,1071,1.07244325607622e-34
310,320,1072,1071,9.83397170089318e-35
320,330,1072,1071,8.97671030791689e-35
330,340,1072,1071,8.15032767830481e-35
340,350,1072,1071,7.35308913493161e-35
350,360,1072,1071,6.58387007225301e-35
360,370,1072,1071,5.84217629256724e-35
370,380,1072,1071,5.12816464837459e-35
380,390,1072,1071,4.442665769738e-35
390,400,1072,1071,3.7872100019378e-35
400,410,1072,1071,3.16405812117993e-35
410,420,1072,1071,2.57624066083718e-35
420,430,1072,1071,2.0276168128188e-35
430,440,1072,1071,1.52298531535778e-35
440,450,1072,1071,1.06834375863579e-35
450,460,1072,1071,6.7158212754178e-36
460,470,1072,1071,3.4443637357684e-36
470,480,1072,1071,1.07799359212187e-36
480,490,1072,1071,1.1157277716877e-38
490,500,1072,1071,9.63983959380062e-42
160,170,1030,1071,3.73425811043612e-39
170,180,1030,1071,3.73972291477797e-34
180,190,1030,1071,1.77580979186104e-30
190,200,1030,1071,4.98861339315487e-29
200,210,1030,1071,1.41429171035185e-28
210,220,1030,1071,2.66335601091462e-28
220,230,1030,1071,4.14709245517786e-28
230,240,1030,1071,5.77718957770657e-28
240,250,1030,1071,7.47618008625457e-28
250,260,1030,1071,9.17654621436654e-28
260,270,1030,1071,1.081978024044e-27
270,280,1030,1071,1.23555597178168e-27
280,290,1030,1071,1.3741062030947e-27
290,300,1030,1071,1.49404143244697e-27
300,310,1030,1071,1.59242663664728e-27
310,320,1030,1071,1.66694716138195e-27
320,330,1030,1071,1.71588621149995e-27
330,340,1030,1071,1.73811044422488e-27
340,350,1030,1071,1.7330625834146e-27
350,360,1030,1071,1.70076017623023e-27
360,370,1030,1071,1.64179980361215e-27
370,380,1030,1071,1.55736623050873e-27
380,390,1030,1071,1.44924615662897e-27
390,400,1030,1071,1.31984645948445e-27
400,410,1030,1071,1.17221728104926e-27
410,420,1030,1071,1.01008152773987e-27
420,430,1030,1071,8.37875967644391e-28
430,440,1030,1071,6.6082017279781e-28
440,450,1030,1071,4.85063599778799e-28
450,460,1030,1071,3.18065100367949e-28
460,470,1030,1071,1.69666084544423e-28
470,480,1030,1071,5.50822349373856e-29
480,490,1030,1071,5.89921429108863e-31
490,500,1030,1071,5.26211428319665e-34
160,170,1031,1071,1.72089609086785e-38
170,180,1031,1071,1.93165280545248e-34
180,190,1031,1071,1.14941491269443e-32
190,200,1031,1071,2.71325056916231e-32
200,210,1031,1071,4.34548751869724e-32
210,220,1031,1071,5.8797955555753e-32
220,230,1031,1071,7.24601661124198e-32
230,240,1031,1071,8.4185142380385e-32
240,250,1031,1071,9.39182242819265e-32
250,260,1031,1071,1.01694704071424e-31
260,270,1031,1071,1.07589573890231e-31
270,280,1031,1071,1.11695385206446e-31
280,290,1031,1071,1.14112759336404e-31
290,300,1031,1071,1.1494652243215e-31
300,310,1031,1071,1.14304318946734e-31
310,320,1031,1071,1.12296312939445e-31
320,330,1031,1071,1.09035369706017e-31
330,340,1031,1071,1.04637455567705e-31
340,350,1031,1071,9.92221444431889e-32
350,360,1031,1071,9.29131851331981e-32
360,370,1031,1071,8.58391114428635e-32
370,380,1031,1071,7.81338897499767e-32
380,390,1031,1071,6.99376052994464e-32
390,400,1031,1071,6.13971954850417e-32
400,410,1031,1071,5.266725391974e-32
410,420,1031,1071,4.39109737778113e-32
420,430,1031,1071,3.53014330849913e-32
430,440,1031,1071,2.70238297399718e-32
440,450,1031,1071,1.92804945617187e-32
450,460,1031,1071,1.23041542599417e-32
460,470,1031,1071,6.39540089021394e-33
470,480,1031,1071,2.0253798621899e-33
480,490,1031,1071,2.11818841824421e-35
490,500,1031,1071,1.8468458125922e-38
150,160,1032,1071,2.73440067602411e-28
160,170,1032,1071,2.44332597217918e-24
170,180,1032,1071,4.31959916489717e-22
180,190,1032,1071,9.00009714212113e-22
190,200,1032,1071,1.3337212920491e-21
200,210,1032,1071,1.72007370906192e-21
210,220,1032,1071,2.05604195564238e-21
220,230,1032,1071,2.34134363883953e-21
230,240,1032,1071,2.57695130663162e-21
240,250,1032,1071,2.7645454012322e-21
250,260,1032,1071,2.90622332578499e-21
260,270,1032,1071,3.00432792284347e-21
270,280,1032,1071,3.06134603867948e-21
280,290,1032,1071,3.07985064099241e-21
290,300,1032,1071,3.06247031807407e-21
300,310,1032,1071,3.01187604250673e-21
310,320,1032,1071,2.93077885375301e-21
320,330,1032,1071,2.82193449196708e-21
330,340,1032,1071,2.68815251678446e-21
340,350,1032,1071,2.53230839215725e-21
350,360,1032,1071,2.35735761595881e-21
360,370,1032,1071,2.16635135218183e-21
370,380,1032,1071,1.96245327169774e-21
380,390,1032,1071,1.74895749401403e-21
390,400,1032,1071,1.52930773300863e-21
400,410,1032,1071,1.30711816533499e-21
410,420,1032,1071,1.08619765890643e-21
420,430,1032,1071,8.70582291894933e-22
430,440,1032,1071,6.6459097267526e-22
440,450,1032,1071,4.72948656224838e-22
450,460,1032,1071,3.01110100930387e-22
460,470,1032,1071,1.56171153239193e-22
470,480,1032,1071,4.93598693338505e-23
480,490,1032,1071,5.15270822947658e-25
490,500,1032,1071,4.48506434634071e-28
160,170,1071,1072,5.88046911139149e-42
170,180,1071,1072,5.31046587201917e-38
180,190,1071,1072,9.49249673080083e-36
190,200,1071,1072,2.00059991775987e-35
200,210,1071,1072,3.00019800692392e-35
210,220,1071,1072,3.91746019162675e-35
220,230,1071,1072,4.74315954155577e-35
230,240,1071,1072,5.47379453860387e-35
240,250,1071,1072,6.10842437762445e-35
250,260,1071,1072,6.64752136098481e-35
260,270,1071,1072,7.09235942204284e-35
270,280,1071,1072,7.44465048705594e-35
280,290,1071,1072,7.70632849682596e-35
290,300,1071,1072,7.87942841298372e-35
300,310,1071,1072,7.96602881170595e-35
310,320,1071,1072,7.9682392990313e-35
320,330,1071,1072,7.8882221373208e-35
330,340,1071,1072,7.72824290346646e-35
340,350,1071,1072,7.49074867556895e-35
350,360,1071,1072,7.17847470622682e-35
360,370,1071,1072,6.79458203692812e-35
370,380,1071,1072,6.34282910937256e-35
380,390,1071,1072,5.8277802358236e-35
390,400,1071,1072,5.2550535005336e-35
400,410,1071,1072,4.63161313981205e-35
410,420,1071,1072,3.96612580897424e-35
420,430,1071,1072,3.26945198112832e-35
430,440,1071,1072,2.55549938736025e-35
440,450,1071,1072,1.84308555473764e-35
450,460,1071,1072,1.16048866540414e-35
460,470,1071,1072,5.56489498958362e-36
470,480,1071,1072,1.23028734417497e-36
480,490,1071,1072,2.91063983190751e-38
490,500,1071,1072,2.61163024677139e-41
150,160,1072,1072,5.41972667825651e-29
160,170,1072,1072,2.11557016367984e-25
170,180,1072,1072,5.52204500003846e-23
180,190,1072,1072,9.88320157046756e-23
190,200,1072,1072,1.15443822104844e-22
200,210,1072,1072,1.18656199931116e-22
210,220,1072,1072,1.16292100673671e-22
220,230,1072,1072,1.11802022876379e-22
230,240,1072,1072,1.06612176141534e-22
