"time_from","time_to","tile_from","tile_to","probL"
0,10,1569,1570,8.32228361014403e-05
0,10,1570,1570,8.32228554023004e-05
0,10,1571,1570,8.32228361014393e-05
0,10,1529,1570,1.53671498525497e-14
0,10,1530,1570,8.32228361014397e-05
0,10,1531,1570,1.53671498525495e-14
0,10,1570,1571,0.000736263439291592
10,20,1570,1571,0.000332891363708188
0,10,1571,1571,0.000736263610044216
10,20,1571,1571,0.000332891440911633
0,10,1572,1571,0.000736263439291582
10,20,1572,1571,0.000332891363708184
0,10,1530,1571,1.35951514422755e-13
10,20,1530,1571,6.14686029744042e-14
0,10,1531,1571,0.000736263439291586
10,20,1531,1571,0.000332891363708186
0,10,1532,1571,1.35951514422753e-13
10,20,1532,1571,6.14686029744034e-14
0,10,1571,1572,0.00412601367944674
10,20,1571,1572,0.00245421160638453
20,30,1571,1572,0.00133156553204247
0,10,1572,1572,0.00412601463634291
10,20,1572,1572,0.00245421217555997
20,30,1572,1572,0.00133156584085626
0,10,1573,1572,0.00412601367944668
10,20,1573,1572,0.00245421160638449
20,30,1573,1572,0.00133156553204245
0,10,1531,1572,7.61871061789381e-13
10,20,1531,1572,4.53171740977534e-13
20,30,1531,1572,2.4587442615444e-13
0,10,1532,1572,0.00412601367944671
10,20,1532,1572,0.00245421160638451
20,30,1532,1572,0.00133156553204246
0,10,1533,1572,7.6187106178937e-13
10,20,1533,1572,4.53171740977527e-13
20,30,1533,1572,2.45874425772321e-13
0,10,1572,1573,0.0118470883850301
10,20,1572,1573,0.0114237492906098
20,30,1572,1573,0.00785347759508401
30,40,1572,1573,0.00532626243700873
0,10,1573,1573,0.0118470911325812
10,20,1573,1573,0.011423751939981
20,30,1573,1573,0.00785347941644554
30,40,1573,1573,0.00532626367019459
0,10,1574,1573,0.0118470883850299
10,20,1574,1573,0.0114237492906097
20,30,1574,1573,0.00785347759508388
30,40,1574,1573,0.00524303210745598
0,10,1532,1573,2.18757243873845e-12
10,20,1532,1573,2.10940260450606e-12
20,30,1532,1573,1.45014965508017e-12
30,40,1532,1573,9.83497760498708e-13
0,10,1533,1573,0.01184708838503
10,20,1533,1573,0.0114237492906097
20,30,1533,1573,0.00785347758287882
30,40,1533,1573,0.00532625361775936
0,10,1534,1573,2.18757243873841e-12
10,20,1534,1573,2.10940260450603e-12
20,30,1534,1573,1.45014405513338e-12
30,40,1534,1573,9.71625646507833e-13
0,10,1573,1574,0.0257241231665191
10,20,1573,1574,0.025699367183317
20,30,1573,1574,0.0289327638028374
30,40,1573,1574,0.0235604341400588
40,50,1573,1574,0.0212218118325145
0,10,1574,1574,0.025724129132402
10,20,1574,1574,0.0256993731434586
20,30,1574,1574,0.0289327705128613
30,40,1574,1574,0.0231922746614929
40,50,1574,1574,0.020532991710161
0,10,1575,1574,0.0257241231665186
10,20,1575,1574,0.0256993671833166
20,30,1575,1574,0.0271244151821285
30,40,1575,1574,0.0207978210745387
40,50,1575,1574,0.017465867367917
0,10,1533,1574,4.74997577640233e-12
10,20,1533,1574,4.74540456828886e-12
20,30,1533,1574,5.34245331141697e-12
30,40,1533,1574,4.35044201360333e-12
40,50,1533,1574,3.92175679011067e-12
0,10,1534,1574,0.0257241231665188
10,20,1534,1574,0.0256993671833167
20,30,1534,1574,0.0289326520751016
30,40,1534,1574,0.0232760286347209
40,50,1534,1574,0.0201191394231114
0,10,1535,1574,4.74997577640225e-12
10,20,1535,1574,4.74537104852271e-12
20,30,1535,1574,5.08950322069004e-12
30,40,1535,1574,3.73602382589784e-12
40,50,1535,1574,3.1433530335492e-12
0,10,1574,1575,0.0321641536947884
10,20,1574,1575,0.0413976066790827
20,30,1574,1575,0.0463894655529134
30,40,1574,1575,0.0619348943311098
40,50,1574,1575,0.060551039001713
50,60,1574,1575,0.0793398103338178
0,10,1575,1575,0.0321641611542292
10,20,1575,1575,0.041397616279926
20,30,1575,1575,0.043490052458456
30,40,1575,1575,0.0555405395478277
40,50,1575,1575,0.0515062257689351
50,60,1575,1575,0.0655877859414831
0,10,1576,1575,0.0321641536947878
10,20,1576,1575,0.0310482056089078
20,30,1576,1575,0.029727440707687
30,40,1576,1575,0.0348133876958024
40,50,1576,1575,0.0311577730205116
50,60,1576,1575,0.0381016276549294
0,10,1534,1575,5.93913152762284e-12
10,20,1534,1575,7.64409451990984e-12
20,30,1534,1575,8.56581137182878e-12
30,40,1534,1575,1.14776202991933e-11
40,50,1534,1575,1.09554364345873e-11
50,60,1534,1575,1.43739615795177e-11
0,10,1535,1575,0.0321641536947881
10,20,1535,1575,0.0413973142618454
20,30,1535,1575,0.0441930551767613
30,40,1535,1575,0.0540319919667284
40,50,1535,1575,0.050200935908564
50,60,1535,1575,0.0623062612645401
0,10,1536,1575,5.93913152762273e-12
10,20,1536,1575,6.21688340021742e-12
20,30,1536,1575,5.43871574657889e-12
30,40,1536,1575,6.3623601457587e-12
40,50,1536,1575,5.48344697610841e-12
50,60,1536,1575,6.73106000593549e-12
0,10,1575,1576,0.025721437192952
10,20,1575,1576,0.0310978760545915
20,30,1575,1576,0.0420765640021617
30,40,1575,1576,0.0500518535986675
40,50,1575,1576,0.0798191373837184
50,60,1575,1576,0.0967079868406956
60,70,1575,1576,0.245335485194381
0,10,1576,1576,0.025721443158212
10,20,1576,1576,0.0233234129004744
20,30,1576,1576,0.0287612700152825
30,40,1576,1576,0.031373036823768
40,50,1576,1576,0.048285186532696
50,60,1576,1576,0.0561801768740866
60,70,1576,1576,0.140142387019034
0,10,1535,1576,4.74947980966726e-12
10,20,1535,1576,5.74220211911699e-12
20,30,1535,1576,7.89505714931208e-12
30,40,1535,1576,8.99108213811386e-12
40,50,1535,1576,1.4365145591983e-11
50,60,1535,1576,1.69637545210666e-11
60,70,1535,1576,4.32132972699336e-11
0,10,1536,1576,0.0257214371929518
10,20,1536,1576,0.0252916639011013
20,30,1536,1576,0.0284967927307381
30,40,1536,1576,0.0310511440796649
40,50,1536,1576,0.0460203839078214
50,60,1536,1576,0.0537492143448473
60,70,1536,1576,0.131160225333078
0,10,1537,1576,1.24025543161384e-12
10,20,1537,1576,4.998335165458e-13
