t,AntennaId,EventCode,PhoneId,x,y,TileId
40,54,0,399,9017.455922,3205.724520,516
40,54,0,398,9017.455922,3205.724520,516
40,54,0,186,8973.687533,3306.386822,555
50,54,2,399,8898.398687,3318.591323,555
50,54,2,398,8898.398687,3318.591323,555
50,54,0,330,9277.669949,3347.787011,557
50,54,2,186,8847.092866,3408.218474,555
60,54,2,399,8795.966569,3446.736558,555
60,54,2,398,8795.966569,3446.736558,555
60,54,2,330,9256.033050,3367.771146,557
60,54,2,186,8745.437010,3534.954350,594
70,54,2,399,8665.163426,3545.752103,594
70,54,2,398,8665.163426,3545.752103,594
70,54,2,330,9236.105572,3389.460237,556
70,54,2,186,8610.909182,3626.048579,594
80,54,2,399,8568.407846,3678.235680,594
80,54,2,398,8568.407846,3678.235680,594
80,54,2,330,9214.943613,3409.946636,556
80,54,2,186,8499.797918,3744.582044,593
90,54,2,399,8485.601067,3819.856927,633
90,54,2,398,8485.601067,3819.856927,633
90,54,2,330,9196.544156,3432.946224,556
90,54,1,186,8373.314444,3846.551774,633
100,54,1,399,8358.502126,3923.584452,633
100,54,1,398,8358.502126,3923.584452,633
100,54,2,330,9173.297121,3451.032031,556
110,54,2,330,9150.609201,3469.814452,556
120,54,2,330,9130.552202,3491.383825,556
130,54,2,330,9111.078431,3513.481184,596
140,54,2,330,9095.050812,3538.192244,596
150,54,2,330,9074.764242,3559.545841,596
160,54,2,330,9050.889343,3576.794328,596
170,54,2,330,9028.784685,3596.259814,596
180,54,2,330,9008.861566,3617.952909,596
190,54,2,330,9008.861566,3617.952909,596
200,54,2,330,9008.861566,3617.952909,596
210,54,2,330,9008.861566,3617.952909,596
220,54,2,330,9008.861566,3617.952909,596
230,54,2,330,8984.073220,3633.860736,595
240,54,2,330,8963.642736,3655.076683,595
250,54,2,330,8938.092434,3669.729433,595
260,54,2,330,8920.686391,3693.489709,595
270,54,2,330,8920.686391,3693.489709,595
280,54,2,330,8920.686391,3693.489709,595
290,54,2,330,8920.686391,3693.489709,595
300,54,2,330,8920.686391,3693.489709,595
310,54,2,330,8897.520081,3711.678804,595
320,54,2,330,8876.454413,3732.264204,595
330,54,2,330,8855.114060,3752.564706,635
340,54,2,330,8837.234741,3775.970923,635
350,54,2,330,8817.468285,3797.806863,635
360,54,2,330,8799.696782,3821.295046,635
370,54,0,593,9278.516988,3344.396864,557
370,54,2,330,8779.329675,3842.571841,635
380,54,2,593,9258.377734,3364.051073,557
380,54,2,330,8757.923954,3862.803405,635
390,54,2,593,9236.484243,3381.730229,556
390,54,2,330,8737.918872,3884.420938,634
400,54,2,593,9215.116611,3400.041478,556
400,54,2,330,8718.057526,3906.170604,634
410,54,2,593,9196.106487,3420.789795,556
410,54,2,330,8696.895912,3926.657360,634
420,54,2,593,9174.880477,3439.265022,556
420,54,2,330,8676.692358,3948.089520,634
430,54,2,593,9156.779072,3460.810710,556
430,54,2,330,8658.796047,3971.482748,634
440,54,2,593,9137.070388,3480.896657,556
440,54,2,330,8636.688595,3990.945060,634
450,54,2,593,9137.070388,3480.896657,556
450,54,2,330,8616.203596,3969.781746,634
460,54,2,593,9137.070388,3480.896657,556
460,54,2,330,8599.213933,3945.721979,634
470,54,2,593,9137.070388,3480.896657,556
470,54,2,330,8579.010178,3924.290009,634
480,54,2,593,9137.070388,3480.896657,556
480,54,2,330,8556.646162,3905.123062,634
490,54,2,593,9137.070388,3480.896657,556
490,54,2,330,8534.891663,3885.267009,634
500,54,2,593,9137.070388,3480.896657,556
500,54,2,330,8534.891663,3885.267009,634
510,54,2,593,9137.070388,3480.896657,556
510,54,2,330,8534.891663,3885.267009,634
520,54,2,593,9137.070388,3480.896657,556
520,54,2,330,8534.891663,3885.267009,634
530,54,2,593,9115.697761,3462.591239,556
530,54,2,330,8534.891663,3885.267009,634
540,54,2,593,9098.010119,3440.704603,556
540,54,2,330,8514.138798,3864.366300,634
550,54,2,593,9081.986000,3417.572263,556
550,54,2,330,8493.968838,3842.902522,633
560,54,2,593,9061.083237,3398.732094,556
560,54,2,330,8479.052649,3817.505114,633
570,54,2,593,9040.370107,3379.683636,556
570,54,2,330,8456.505963,3798.553386,633
580,54,2,593,9023.777456,3356.955648,556
580,54,2,330,8436.476654,3776.958297,633
590,54,2,593,9005.199412,3335.819570,556
590,54,2,330,8417.618476,3754.333307,633
600,54,2,593,8982.779537,3318.812902,555
600,54,2,330,8417.618476,3754.333307,633
610,54,2,593,8960.903849,3301.111723,555
610,54,2,330,8417.618476,3754.333307,633
620,54,2,593,8942.322034,3279.978960,555
620,54,2,330,8417.618476,3754.333307,633
630,54,2,593,8923.376689,3259.171476,555
630,54,2,330,8417.618476,3754.333307,633
640,54,2,593,8923.376689,3259.171476,555
640,54,1,330,8398.201528,3732.186000,593
650,54,2,593,8923.376689,3259.171476,555
660,54,2,593,8923.376689,3259.171476,555
670,54,2,593,8903.430449,3239.321413,515
680,54,2,593,8879.532459,3224.463297,515
690,54,2,593,8879.532459,3224.463297,515
700,54,2,593,8879.532459,3224.463297,515
710,54,2,593,8879.532459,3224.463297,515
720,54,2,593,8879.532459,3224.463297,515
730,54,2,593,8860.440765,3203.790011,515
740,54,2,593,8840.831863,3183.606640,515
750,54,1,593,8819.138054,3165.683020,515
