t,AntennaId,EventCode,PhoneId,x,y,TileId
0,45,0,339,5338.752018,3764.002761,621
0,45,0,704,5580.526162,3067.961576,502
10,45,2,704,5469.667044,3195.142304,501
10,45,1,339,5210.837735,3893.711764,620
20,45,2,704,5342.960083,3306.542607,541
30,45,2,704,5199.599897,3395.495059,540
40,45,2,704,5199.599897,3395.495059,540
50,45,2,704,5199.599897,3395.495059,540
60,45,2,704,5199.599897,3395.495059,540
70,45,2,704,5199.599897,3395.495059,540
80,45,2,704,5083.525874,3517.934851,580
80,45,0,209,5954.180011,3792.753998,623
80,45,0,208,5954.180011,3792.753998,623
90,45,1,704,4953.289321,3625.187458,579
90,45,2,209,5846.849096,3916.208452,623
90,45,2,208,5846.849096,3916.208452,623
100,45,2,209,5846.849096,3916.208452,623
100,45,2,208,5846.849096,3916.208452,623
110,45,2,209,5846.849096,3916.208452,623
110,45,2,208,5846.849096,3916.208452,623
120,45,2,209,5846.849096,3916.208452,623
120,45,2,208,5846.849096,3916.208452,623
130,45,2,209,5846.849096,3916.208452,623
130,45,2,208,5846.849096,3916.208452,623
140,45,2,209,5726.634476,4027.156066,662
140,45,2,208,5726.634476,4027.156066,662
150,45,1,209,5600.836840,4131.730836,662
150,45,1,208,5600.836840,4131.730836,662
160,45,0,377,6042.246356,3431.242194,544
170,45,2,377,5925.722077,3527.105926,583
180,45,2,377,5822.258758,3636.938090,583
190,45,0,550,6086.755180,3292.936850,544
190,45,2,377,5725.749104,3752.927958,622
200,45,2,550,6065.435773,3315.831916,544
200,45,2,377,5611.746535,3851.777222,622
210,45,2,550,6044.890645,3339.424264,544
210,45,1,377,5529.888661,3978.533095,622
220,45,2,550,6023.135051,3361.905262,544
230,45,2,550,6002.420869,3385.349319,544
240,45,2,550,5981.054315,3408.200392,543
250,45,2,550,5962.187197,3433.155011,543
260,45,2,550,5941.055799,3456.223717,543
270,45,2,550,5921.645419,3480.758148,543
280,45,2,550,5898.580881,3501.894094,583
290,45,2,550,5877.335490,3524.857860,583
300,45,2,550,5853.646300,3545.291250,583
310,45,2,550,5833.063096,3568.850386,583
320,45,2,550,5809.811220,3589.780064,583
330,45,2,550,5789.923562,3613.929230,583
340,45,2,550,5769.189645,3637.355835,583
350,45,2,550,5747.876042,3660.256304,582
360,45,2,550,5726.681930,3683.267405,582
370,45,2,550,5703.787737,3704.587749,582
380,45,2,550,5685.605190,3730.045482,582
390,45,2,550,5666.562715,3754.866548,622
400,45,2,550,5642.517448,3774.879700,622
410,45,2,550,5642.517448,3774.879700,622
420,45,2,550,5642.517448,3774.879700,622
430,45,2,550,5642.517448,3774.879700,622
440,45,2,550,5618.809116,3795.290877,622
450,45,2,550,5596.980049,3772.881215,622
460,45,2,550,5573.401643,3752.320088,622
470,45,2,550,5550.171686,3731.366084,582
480,45,2,550,5529.211893,3708.141351,582
490,45,2,550,5507.609456,3685.513141,582
500,45,2,550,5487.276774,3661.737457,581
500,45,0,245,6026.798965,3223.733653,504
510,45,2,550,5466.635047,3638.229580,581
510,45,2,245,5897.681533,3108.306189,503
520,45,2,550,5442.573747,3618.235706,581
520,45,2,245,5769.267033,2992.097209,463
530,45,2,550,5428.179462,3590.459714,581
530,45,1,245,5645.141589,2871.317721,462
540,45,2,550,5405.704372,3568.698016,581
550,45,2,550,5387.539766,3543.227480,581
560,45,2,550,5366.993192,3519.636391,581
570,45,2,550,5345.608470,3496.802319,541
580,45,2,550,5322.988495,3475.191261,541
590,45,2,550,5300.591172,3453.349533,541
600,45,2,550,5278.347100,3431.351750,541
610,45,2,550,5260.084694,3405.951244,541
620,45,2,550,5234.659228,3387.723605,540
630,45,2,550,5234.659228,3387.723605,540
640,45,2,550,5234.659228,3387.723605,540
650,45,0,588,6111.164840,3407.086633,544
650,45,2,550,5234.659228,3387.723605,540
660,45,2,588,6091.285989,3383.495705,544
660,45,2,550,5214.743050,3363.597955,540
670,45,2,588,6066.112349,3365.663475,544
670,45,2,550,5191.819415,3342.309270,540
680,45,2,588,6043.445985,3344.736542,544
680,45,2,550,5167.356099,3322.809339,540
690,45,2,588,6021.278989,3323.281359,544
690,45,1,550,5142.301739,3304.074872,540
700,45,2,588,6004.032835,3297.702642,544
710,45,2,588,5983.927263,3274.304639,543
720,45,2,588,5962.693003,3251.925926,543
730,45,2,588,5942.338547,3228.744108,503
740,45,2,588,5917.585807,3210.332089,503
750,45,2,588,5896.320764,3187.982625,503
760,45,2,588,5873.613403,3167.100185,503
770,45,2,588,5854.455810,3142.919878,503
780,45,2,588,5829.626386,3124.611404,503
790,45,2,588,5805.809594,3105.003726,503
800,45,2,588,5785.622169,3081.676308,503
810,45,2,588,5762.225519,3061.569161,503
820,45,2,588,5744.069678,3036.627910,502
830,45,2,588,5723.495696,3013.640700,502
840,45,2,588,5703.419748,2990.217274,462
850,45,2,588,5703.419748,2990.217274,462
860,45,2,588,5703.419748,2990.217274,462
870,45,2,588,5703.419748,2990.217274,462
880,45,2,588,5703.419748,2990.217274,462
890,45,2,588,5678.552503,2971.960202,462
