t,AntennaId,EventCode,PhoneId,x,y,TileId
0,22,0,214,2987.174670,8217.054549,1291
0,22,0,280,1956.110144,8607.870382,1367
0,22,0,281,1956.110144,8607.870382,1367
0,22,0,297,1862.903763,7398.013062,1167
0,22,0,368,2913.566449,6991.702282,1091
0,22,0,394,1816.753703,7334.680465,1167
0,22,0,499,2622.593076,7910.857081,1250
0,22,0,512,2755.220381,8279.159351,1331
0,22,0,540,2329.079105,7066.299307,1129
0,22,0,712,1840.685172,7986.242040,1247
0,22,0,723,2391.586681,6815.506602,1089
0,22,0,749,2069.132937,6616.979895,1048
0,22,0,750,2069.132937,6616.979895,1048
0,22,0,768,2560.660261,7014.274562,1130
10,22,2,768,2430.805211,7142.487389,1129
10,22,2,750,1929.550287,6718.527317,1047
10,22,2,749,1929.550287,6718.527317,1047
10,22,2,723,2366.712940,6838.177703,1089
10,22,2,712,1748.373527,8078.076774,1286
10,22,2,540,2245.520473,7179.899298,1128
10,22,2,512,2661.522798,8358.689051,1330
10,22,2,499,2604.379777,7927.451572,1250
10,22,2,394,1722.493675,7411.824019,1166
10,22,2,368,2895.400331,7014.072574,1131
10,22,2,297,1749.170136,7480.658459,1166
10,22,2,281,1832.778181,8718.126629,1367
10,22,2,280,1832.778181,8718.126629,1367
10,22,2,214,2971.361906,8235.981239,1291
20,22,2,768,2298.109871,7267.758334,1169
20,22,2,750,1814.148589,6846.892588,1087
20,22,2,749,1814.148589,6846.892588,1087
20,22,2,723,2343.218139,6862.274926,1089
20,22,2,712,1670.583755,8182.498082,1286
20,22,0,567,3007.739841,7164.490966,1132
20,22,2,540,2134.011852,7266.229075,1168
20,22,2,512,2581.737699,8452.169252,1330
20,22,2,499,2586.481510,7944.385367,1250
20,22,2,394,1722.493675,7411.824019,1166
20,22,2,368,2872.255447,7031.240920,1131
20,22,2,297,1668.751618,7595.977415,1206
20,22,2,281,1729.699525,8847.517525,1406
20,22,2,280,1729.699525,8847.517525,1406
20,22,2,214,2954.189725,8253.683760,1331
30,22,2,768,2173.628034,7401.194217,1168
30,22,2,750,1711.572541,6985.721076,1086
30,22,2,749,1711.572541,6985.721076,1086
30,22,2,723,2319.789272,6886.436258,1089
30,22,2,712,1585.957985,8281.460385,1326
30,22,0,592,2306.057158,6623.813925,1049
30,22,2,567,3007.739841,7164.490966,1132
30,22,2,540,2030.105485,7361.573031,1168
30,22,2,512,2484.590684,8527.446525,1369
30,22,2,499,2565.636925,7957.523276,1250
30,22,2,394,1722.493675,7411.824019,1166
30,22,2,368,2851.367719,7051.093895,1131
30,22,2,297,1668.751618,7595.977415,1206
30,22,1,281,1625.567126,8976.061901,1406
30,22,1,280,1625.567126,8976.061901,1406
30,22,2,214,2936.454577,8270.822243,1331
30,22,0,179,3155.190393,7251.149150,1172
40,22,2,768,2039.383121,7524.803142,1208
40,22,1,750,1586.376439,7104.553441,1126
40,22,1,749,1586.376439,7104.553441,1126
40,22,2,723,2293.704647,6907.702996,1089
40,22,2,712,1488.878003,8368.239042,1325
40,22,0,659,3247.334940,7834.648944,1252
40,22,0,658,3247.334940,7834.648944,1252
40,22,2,592,2184.485476,6718.889908,1048
40,22,2,567,3007.739841,7164.490966,1132
40,22,2,540,1949.416681,7477.229072,1167
40,22,2,512,2403.629437,8619.909958,1369
40,22,2,499,2547.566641,7974.273386,1250
40,22,2,394,1722.493675,7411.824019,1166
40,22,2,368,2851.367719,7051.093895,1131
40,22,2,297,1668.751618,7595.977415,1206
40,22,2,214,2920.017228,8289.209104,1331
40,22,2,179,3068.054765,7370.557218,1172
50,22,2,768,1907.786996,7651.228307,1207
50,22,2,723,2267.553617,6928.888026,1089
50,22,2,712,1400.960485,8464.288863,1325
50,22,2,659,3247.334940,7834.648944,1252
50,22,2,658,3247.334940,7834.648944,1252
50,22,2,592,2084.269465,6836.260551,1088
50,22,2,567,3007.739841,7164.490966,1132
50,22,2,540,1853.071416,7580.207677,1207
50,22,2,512,2313.692502,8703.668886,1369
50,22,2,499,2528.673907,7990.090022,1250
50,22,2,394,1722.493675,7411.824019,1166
50,22,2,368,2851.367719,7051.093895,1131
50,22,2,297,1668.751618,7595.977415,1206
50,22,2,214,2905.832446,8309.384709,1331
50,22,2,179,3068.054765,7370.557218,1172
60,22,2,768,1761.270116,7760.010966,1247
60,22,2,723,2241.742015,6950.485317,1088
60,22,1,712,1303.779270,8550.954137,1365
60,22,2,659,3247.334940,7834.648944,1252
60,22,2,658,3247.334940,7834.648944,1252
60,22,2,592,1974.962349,6945.214996,1087
60,22,2,567,3007.739841,7164.490966,1132
60,22,2,540,1752.910526,7679.479018,1207
60,22,2,512,2235.782475,8798.717493,1408
60,22,2,499,2509.964677,8006.123303,1290
60,22,2,394,1722.493675,7411.824019,1166
60,22,2,368,2829.885096,7070.301567,1131
60,22,2,297,1668.751618,7595.977415,1206
60,22,2,214,2888.829139,8327.249495,1331
60,22,2,179,3068.054765,7370.557218,1172
70,22,2,768,1615.071736,7869.221297,1246
70,22,2,723,2215.588892,6971.667762,1088
70,22,2,659,3247.334940,7834.648944,1252
70,22,2,658,3247.334940,7834.648944,1252
70,22,2,592,1974.962349,6945.214996,1087
70,22,2,567,3007.739841,7164.490966,1132
70,22,2,540,1653.433506,7779.435636,1246
70,22,2,512,2156.027505,8892.223402,1408
70,22,2,499,2493.797610,8024.717048,1289
70,22,2,394,1722.493675,7411.824019,1166
70,22,2,368,2806.364758,7086.951836,1131
70,22,2,297,1668.751618,7595.977415,1206
70,22,2,214,2870.727279,8344.000189,1331
70,22,2,179,3068.054765,7370.557218,1172
80,22,2,768,1496.473956,8007.913147,1285
80,22,2,723,2188.527006,6991.676163,1088
80,22,2,659,3247.334940,7834.648944,1252
80,22,2,658,3247.334940,7834.648944,1252
