t,AntennaId,EventCode,PhoneId,x,y,TileId
0,7,0,303,6144.606363,4064.833961,664
0,7,0,613,6584.670348,4282.676968,706
10,7,2,613,6562.804731,4301.923234,706
10,7,2,303,6121.554588,4089.929401,664
20,7,2,613,6541.750910,4322.054321,706
20,7,2,303,6095.509054,4111.902011,664
30,7,2,613,6520.843796,4342.337728,706
30,7,0,422,6749.849801,3700.939812,586
30,7,2,303,6068.918559,4133.211893,664
40,7,2,613,6500.906001,4363.574683,706
40,7,2,422,6641.488015,3813.584482,626
40,7,2,303,6041.668444,4153.671527,664
50,7,2,613,6477.236767,4380.553828,705
50,7,2,422,6525.752035,3918.638189,626
50,7,2,303,6018.992042,4179.106666,664
60,7,2,613,6456.311818,4400.818836,705
60,7,2,422,6414.156966,4028.080591,665
60,7,1,303,5995.246888,4203.547064,663
70,7,2,613,6434.744132,4420.398389,705
70,7,2,422,6281.889076,4111.365065,665
80,7,2,613,6416.640587,4443.219117,705
80,7,2,422,6155.257949,4202.992879,664
90,7,2,613,6416.640587,4443.219117,705
90,7,1,422,6034.286730,4301.972992,704
100,7,2,613,6416.640587,4443.219117,705
110,7,2,613,6416.640587,4443.219117,705
120,7,2,613,6416.640587,4443.219117,705
130,7,2,613,6398.417733,4465.944688,705
140,7,2,613,6375.382715,4483.774774,705
150,7,2,613,6353.832912,4503.374008,745
160,7,2,613,6331.468942,4522.038864,745
170,7,2,613,6311.867896,4543.587019,745
180,7,2,613,6290.354247,4563.225932,745
180,7,0,149,6676.269712,3643.746183,586
190,7,2,613,6271.811972,4585.691640,745
190,7,2,149,6566.741281,3767.038121,626
200,7,2,613,6271.811972,4585.691640,745
200,7,2,149,6448.427647,3881.926166,625
210,7,2,613,6271.811972,4585.691640,745
210,7,2,149,6345.526188,4010.800791,665
220,7,2,613,6271.811972,4585.691640,745
220,7,2,149,6227.961832,4126.455454,664
230,7,2,613,6271.811972,4585.691640,745
230,7,0,594,7116.403962,3809.691187,628
230,7,2,149,6102.168990,4233.102254,664
240,7,2,613,6271.811972,4585.691640,745
240,7,2,594,7094.141959,3836.335726,628
240,7,2,149,6102.168990,4233.102254,664
250,7,1,613,6255.263888,4609.664226,745
250,7,2,594,7071.455393,3862.619713,628
250,7,2,149,6102.168990,4233.102254,664
260,7,2,594,7049.168283,3889.243256,628
260,7,2,149,6102.168990,4233.102254,664
270,7,2,594,7021.225430,3909.852118,628
270,7,2,149,6102.168990,4233.102254,664
280,7,2,594,6997.131110,3934.851959,627
280,7,2,149,6102.168990,4233.102254,664
290,7,2,594,6967.613807,3953.134657,627
290,7,2,149,6102.168990,4233.102254,664
300,7,2,594,6941.416995,3975.921831,627
300,7,2,149,6102.168990,4233.102254,664
310,7,2,594,6941.416995,3975.921831,627
310,7,1,149,5970.204360,4332.009865,703
320,7,2,594,6941.416995,3975.921831,627
330,7,2,594,6941.416995,3975.921831,627
340,7,2,594,6941.416995,3975.921831,627
350,7,2,594,6912.822279,3995.616259,627
360,7,2,594,6890.108313,4021.876571,667
370,7,2,594,6869.000414,4049.444394,667
380,7,2,594,6845.666411,4075.155336,667
390,7,2,594,6819.079815,4097.486508,667
400,7,2,594,6795.538465,4123.007736,667
410,7,2,594,6770.983526,4147.555307,667
420,7,2,594,6749.188054,4174.582805,666
430,7,2,594,6723.357335,4197.784146,666
440,7,2,594,6698.774857,4222.304138,666
450,7,2,594,6698.774857,4222.304138,666
460,7,2,594,6698.774857,4222.304138,666
470,7,2,594,6698.774857,4222.304138,666
480,7,2,594,6698.774857,4222.304138,666
490,7,2,594,6698.774857,4222.304138,666
500,7,2,594,6698.774857,4222.304138,666
510,7,2,594,6698.774857,4222.304138,666
520,7,2,594,6698.774857,4222.304138,666
530,7,2,594,6672.232447,4199.920467,666
540,7,2,594,6648.305212,4174.760664,666
550,7,2,594,6619.826716,4154.898550,666
560,7,2,594,6593.384043,4132.397144,666
570,7,2,594,6570.634387,4106.167745,666
580,7,2,594,6546.976823,4080.754206,666
590,7,2,594,6522.605822,4056.024010,666
600,7,2,594,6497.241835,4032.313329,665
610,7,2,594,6473.039296,4007.418242,665
620,7,2,594,6444.154584,3988.151648,625
630,7,2,594,6419.575565,3963.628187,625
640,7,2,594,6394.571855,3939.537883,625
650,7,2,594,6368.214992,3916.936025,625
660,7,2,594,6345.122288,3891.008138,625
670,7,2,594,6319.232251,3867.873008,625
680,7,2,594,6295.464687,3842.562316,625
690,7,2,594,6272.387262,3816.620829,625
700,7,2,594,6249.734105,3790.308042,624
710,7,2,594,6223.378412,3767.704819,624
720,7,2,594,6197.896130,3744.121317,584
730,7,2,594,6170.642001,3722.609908,584
740,7,2,594,6170.642001,3722.609908,584
750,7,2,594,6170.642001,3722.609908,584
760,7,2,594,6170.642001,3722.609908,584
770,7,2,594,6170.642001,3722.609908,584
780,7,2,594,6145.057962,3699.136833,584
790,7,2,594,6120.906064,3674.192614,584
800,7,2,594,6098.923721,3647.316884,584
810,7,2,594,6071.274956,3626.315120,584
820,7,1,594,6050.896075,3598.204100,584
