t,Antenna ID,Event Code,Device ID,x,y, Tile ID
0,46,0,217,6254.290960,2018.100601,345
0,23,0,719,1458.072003,4889.629017,765
0,26,0,734,3426.110499,3191.464292,493
0,23,0,625,540.190771,4250.938680,682
0,66,0,575,5255.325831,4575.948540,741
0,33,0,554,931.258847,798.682131,123
0,28,0,567,3255.985153,6964.895595,1093
0,43,0,726,9945.655739,5381.816794,879
0,53,0,507,7505.560744,3632.762994,590
0,24,0,211,1643.927980,5647.472332,886
0,47,0,649,8790.629736,5237.544642,835
0,16,0,89,9323.501019,1589.285791,277
0,37,0,453,1337.959814,2245.175692,325
0,43,0,497,9953.323998,5661.008972,919
0,31,0,343,7050.340601,6084.082233,988
0,45,0,714,5535.329877,3291.106416,542
0,26,0,225,2776.512986,4162.297484,651
0,35,0,584,9329.981977,9657.599485,1557
0,66,0,618,4505.521899,3895.377781,618
0,24,0,592,2621.021439,6286.343682,1010
0,24,0,635,2871.885205,5923.844753,931
0,42,0,441,8238.723824,5959.643063,952
0,25,0,158,1756.137362,4068.299851,647
0,32,0,777,5833.385830,8435.483292,1343
0,34,0,492,9184.336730,8912.842925,1436
0,67,0,86,9289.815215,5190.075881,837
0,42,0,505,8656.243847,5710.015983,914
0,24,0,350,2595.255177,4694.895266,730
0,36,0,251,7503.077914,7632.705316,1230
0,24,0,151,2404.767011,4401.025543,689
0,28,0,474,3524.095113,5718.365052,894
0,32,0,392,7475.879055,8656.641722,1389
0,30,0,527,6124.922540,4951.955646,784
0,47,0,562,8237.345665,4602.405777,752
0,22,0,768,2560.660261,7014.274562,1130
0,24,0,746,3331.374810,5598.465361,893
0,28,0,676,3979.102540,6350.056992,1015
0,49,0,494,5087.950456,1010.731182,180
0,28,0,179,3462.071255,6932.200220,1093
0,63,0,147,5229.266618,1782.405177,300
0,43,0,698,9686.320510,5088.640944,838
0,22,0,712,1840.685172,7986.242040,1247
0,66,0,574,5255.325831,4575.948540,741
0,58,0,332,8026.328724,6931.781925,1112
0,33,0,553,931.258847,798.682131,123
0,18,0,185,2485.368181,9910.834022,1569
0,43,0,662,9928.687554,5394.959370,879
0,20,0,490,4690.489384,7929.846449,1258
0,20,0,400,4639.201418,7422.022664,1178
0,27,0,95,2400.900747,2500.914997,409
0,25,0,687,1193.691114,3147.826808,484
0,43,0,697,9686.320510,5088.640944,838
0,20,0,556,4981.388536,8115.123338,1299
0,20,0,242,4450.074819,7692.799316,1217
0,20,0,271,4502.834223,7802.042007,1258
0,20,0,286,3557.634022,8294.578066,1334
0,22,0,394,1816.753703,7334.680465,1167
0,20,0,354,4686.014592,8875.209650,1418
0,18,0,278,4003.168993,9556.155244,1536
0,60,0,509,6208.563510,4686.522530,744
0,22,0,368,2913.566449,6991.702282,1091
0,18,0,690,2892.912208,9389.793733,1491
0,18,0,521,4042.719338,9093.419073,1456
0,18,0,327,2868.966319,9423.485127,1491
0,20,0,312,5139.227474,7759.551045,1260
0,31,0,134,6826.104944,6788.599993,1107
0,22,0,297,1862.903763,7398.013062,1167
0,43,0,661,9928.687554,5394.959370,879
0,12,0,586,491.758982,1997.298408,281
0,12,0,373,411.392695,1348.935459,201
0,46,0,77,5910.858761,2249.029033,343
0,17,0,736,6286.272766,9695.030980,1545
0,12,0,273,272.556108,1555.982756,241
0,22,0,750,2069.132937,6616.979895,1048
0,28,0,743,3875.576113,6835.190742,1095
0,36,0,190,7312.391328,7577.025748,1229
0,38,0,560,3969.222647,3153.281075,495
0,22,0,723,2391.586681,6815.506602,1089
0,22,0,214,2987.174670,8217.054549,1291
0,22,0,540,2329.079105,7066.299307,1129
0,24,0,644,2300.683427,5539.887762,889
0,27,0,129,2306.164646,2616.660920,409
0,22,0,281,1956.110144,8607.870382,1367
0,22,0,280,1956.110144,8607.870382,1367
0,28,0,781,4404.513244,6803.609570,1097
0,49,0,431,5194.850571,948.746673,140
0,22,0,749,2069.132937,6616.979895,1048
0,52,0,149,7716.843929,2598.962367,430
0,56,0,716,9314.847895,2557.750743,437
0,22,0,499,2622.593076,7910.857081,1250
0,22,0,512,2755.220381,8279.159351,1331
0,28,0,658,3689.409648,7361.768920,1174
0,36,0,647,8185.434575,8148.412419,1312
0,44,0,422,7054.377443,3346.130410,548
0,14,0,268,9303.615320,1639.613455,277
0,23,0,318,1215.827888,4642.626906,724
0,32,0,778,5833.385830,8435.483292,1343
