t,AntennaId,EventCode,PhoneId,x,y,TileId
0,18,0,185,2485.368181,9910.834022,1569
0,18,0,278,4003.168993,9556.155244,1536
0,18,0,327,2868.966319,9423.485127,1491
0,18,0,521,4042.719338,9093.419073,1456
0,18,0,690,2892.912208,9389.793733,1491
10,18,2,690,2789.391745,9510.418386,1531
10,18,2,521,3944.746343,9192.096547,1455
10,18,2,327,2868.966319,9423.485127,1491
10,18,2,278,3912.005057,9670.609882,1535
10,18,2,185,2485.368181,9910.834022,1569
20,18,2,690,2673.236376,9618.929783,1530
20,18,2,521,3842.383831,9286.212795,1495
20,18,2,327,2868.966319,9423.485127,1491
20,18,2,278,3812.045218,9777.468471,1575
20,18,2,185,2485.368181,9910.834022,1569
30,18,2,690,2558.276966,9728.707408,1530
30,18,2,521,3753.631167,9393.259124,1495
30,18,2,327,2868.966319,9423.485127,1491
30,18,2,278,3714.122652,9886.197025,1574
30,18,2,185,2485.368181,9910.834022,1569
40,18,2,690,2466.525882,9858.509302,1569
40,18,2,521,3646.540856,9481.958712,1494
40,18,2,327,2868.966319,9423.485127,1491
40,18,2,278,3605.793378,9984.561122,1574
40,18,2,185,2485.368181,9910.834022,1569
50,18,2,690,2343.356063,9958.988099,1569
50,18,2,521,3539.793865,9571.071179,1534
50,18,2,327,2868.966319,9423.485127,1491
50,18,2,278,3605.793378,9984.561122,1574
50,18,2,185,2485.368181,9910.834022,1569
60,18,2,690,2343.356063,9958.988099,1569
60,18,2,521,3447.705526,9675.261821,1533
60,18,2,327,2868.966319,9423.485127,1491
60,18,0,286,3413.394513,8438.851727,1333
60,18,2,278,3752.069881,9980.831262,1575
60,18,2,185,2485.368181,9910.834022,1569
70,18,2,690,2429.924485,9825.673804,1569
70,18,2,521,3341.570850,9765.102693,1573
70,18,2,327,2868.966319,9423.485127,1491
70,18,2,286,3388.670364,8462.309220,1333
70,18,2,278,3781.077283,9837.411257,1575
70,18,2,185,2485.368181,9910.834022,1569
80,18,2,690,2396.901719,9670.186538,1529
80,18,2,521,3247.236760,9867.264483,1572
80,18,0,512,2067.977595,8977.963844,1408
80,18,2,327,2868.966319,9423.485127,1491
80,18,2,286,3366.736674,8488.394670,1333
80,18,2,278,3781.077283,9837.411257,1575
80,18,2,185,2485.368181,9910.834022,1569
90,18,2,690,2454.173761,9521.907388,1529
90,18,2,521,3150.498833,9967.153047,1572
90,18,2,512,1974.672297,9057.953415,1447
90,18,2,327,2735.095289,9540.543363,1530
90,18,2,286,3341.358340,8511.142804,1373
90,18,2,278,3781.077283,9837.411257,1575
90,18,0,203,4362.202387,9454.427260,1497
90,18,2,185,2485.368181,9910.834022,1569
