t,AntennaId,EventCode,PhoneId,x,y,TileId
0,42,0,377,8258.523021,5908.276934,953
0,42,0,441,8238.723824,5959.643063,952
0,42,0,504,8656.243847,5710.015983,914
0,42,0,505,8656.243847,5710.015983,914
10,42,2,505,8546.916687,5794.345054,954
10,42,2,504,8546.916687,5794.345054,954
10,42,1,441,8217.921977,5979.667128,952
10,42,1,377,8151.126415,6027.554804,992
20,42,0,649,8740.214038,5291.067846,874
20,42,2,505,8445.246395,5887.763318,953
20,42,2,504,8445.246395,5887.763318,953
30,42,2,649,8719.330609,5321.330403,874
30,42,2,505,8445.246395,5887.763318,953
30,42,2,504,8445.246395,5887.763318,953
40,42,2,649,8691.005500,5344.774551,874
40,42,2,505,8445.246395,5887.763318,953
40,42,2,504,8445.246395,5887.763318,953
50,42,2,649,8663.034451,5368.640015,874
50,42,2,505,8445.246395,5887.763318,953
50,42,2,504,8445.246395,5887.763318,953
50,42,0,86,8787.788139,5715.935308,915
60,42,2,649,8637.410158,5395.009229,874
60,42,2,505,8445.246395,5887.763318,953
60,42,2,504,8445.246395,5887.763318,953
60,42,2,86,8675.494985,5808.467334,954
70,42,2,649,8612.924783,5422.439255,874
70,42,0,623,8819.519398,5831.073571,955
70,42,2,505,8445.246395,5887.763318,953
70,42,2,504,8445.246395,5887.763318,953
70,42,2,86,8586.774107,5923.795277,954
80,42,2,649,8612.924783,5422.439255,874
80,42,2,623,8728.349520,5923.315211,954
80,42,2,505,8445.246395,5887.763318,953
80,42,2,504,8445.246395,5887.763318,953
80,42,2,86,8474.418370,6016.251303,993
90,42,2,649,8612.924783,5422.439255,874
90,42,2,623,8629.881334,6007.721864,994
90,42,2,505,8445.246395,5887.763318,953
90,42,2,504,8445.246395,5887.763318,953
90,42,1,86,8372.811023,6120.404437,993
100,42,2,649,8612.924783,5422.439255,874
100,42,2,623,8567.177523,6121.250269,994
100,42,2,505,8445.246395,5887.763318,953
100,42,2,504,8445.246395,5887.763318,953
110,42,2,649,8612.924783,5422.439255,874
110,42,1,623,8470.392432,6207.581683,993
110,42,2,505,8445.246395,5887.763318,953
110,42,2,504,8445.246395,5887.763318,953
120,42,2,649,8612.924783,5422.439255,874
120,42,2,505,8445.246395,5887.763318,953
120,42,2,504,8445.246395,5887.763318,953
130,42,2,649,8612.924783,5422.439255,874
130,42,2,505,8445.246395,5887.763318,953
130,42,2,504,8445.246395,5887.763318,953
140,42,2,649,8612.924783,5422.439255,874
140,42,2,505,8335.415552,5971.435333,953
140,42,2,504,8335.415552,5971.435333,953
150,42,2,649,8587.320817,5448.828208,874
150,42,2,505,8335.415552,5971.435333,953
150,42,2,504,8335.415552,5971.435333,953
160,42,2,649,8562.594771,5476.041487,874
160,42,2,505,8335.415552,5971.435333,953
160,42,2,504,8335.415552,5971.435333,953
170,42,2,649,8562.594771,5476.041487,874
170,42,2,505,8335.415552,5971.435333,953
170,42,2,504,8335.415552,5971.435333,953
180,42,2,649,8562.594771,5476.041487,874
180,42,1,505,8235.890249,6067.135564,992
180,42,1,504,8235.890249,6067.135564,992
190,42,2,649,8562.594771,5476.041487,874
200,42,2,649,8562.594771,5476.041487,874
210,42,2,649,8536.232255,5501.672672,914
220,42,2,649,8514.183637,5531.097124,914
230,42,2,649,8484.794124,5553.192291,913
240,42,2,649,8456.141106,5576.234523,913
250,42,2,649,8428.836424,5600.859597,913
260,42,2,649,8428.836424,5600.859597,913
270,42,2,649,8428.836424,5600.859597,913
280,42,2,649,8428.836424,5600.859597,913
290,42,2,649,8428.836424,5600.859597,913
300,42,2,649,8403.747410,5627.738609,913
310,42,2,649,8375.243776,5650.965377,913
320,42,2,649,8347.215529,5674.763640,913
330,42,2,649,8320.001597,5699.488967,913
340,42,2,649,8295.912061,5727.267271,913
350,42,2,649,8267.901575,5751.086435,953
360,42,2,649,8267.901575,5751.086435,953
370,42,2,649,8267.901575,5751.086435,953
380,42,2,649,8267.901575,5751.086435,953
380,42,0,237,8851.409144,5590.268029,915
390,42,0,698,8917.486383,5849.806846,955
390,42,0,697,8917.486383,5849.806846,955
390,42,2,649,8239.688024,5774.664718,952
390,42,2,237,8831.014278,5608.573341,915
400,42,2,698,8892.716931,5871.580577,955
400,42,2,697,8892.716931,5871.580577,955
400,42,2,649,8211.857000,5798.693326,952
400,42,2,237,8810.445144,5626.682613,915
410,42,2,698,8871.750330,5897.036869,955
410,42,2,697,8871.750330,5897.036869,955
410,42,2,649,8190.602523,5828.696445,952
410,42,2,237,8810.445144,5626.682613,915
420,42,2,698,8851.194030,5922.825619,955
420,42,2,697,8851.194030,5922.825619,955
420,42,2,649,8164.085292,5854.167533,952
420,42,2,237,8810.445144,5626.682613,915
430,42,2,698,8828.588413,5946.838266,955
430,42,2,697,8828.588413,5946.838266,955
430,42,2,649,8140.816901,5882.637200,952
430,42,2,237,8810.445144,5626.682613,915
440,42,2,698,8808.559635,5973.038823,955
440,42,2,697,8808.559635,5973.038823,955
440,42,1,649,8116.331906,5910.067564,952
440,42,2,237,8810.445144,5626.682613,915
450,42,2,698,8786.173735,5948.821213,955
450,42,2,697,8786.173735,5948.821213,955
450,42,2,237,8810.445144,5626.682613,915
460,42,2,698,8758.400006,5931.038044,955
460,42,2,697,8758.400006,5931.038044,955
460,42,2,237,8810.445144,5626.682613,915
470,42,2,698,8734.495736,5908.317855,954
470,42,2,697,8734.495736,5908.317855,954
470,42,2,237,8787.188795,5612.185123,915
480,42,2,698,8710.323541,5885.882925,954
480,42,2,697,8710.323541,5885.882925,954
480,42,2,237,8767.569980,5593.050413,915
490,42,2,698,8686.025195,5863.584684,954
490,42,2,697,8686.025195,5863.584684,954
490,42,2,237,8751.538305,5570.823843,915
500,42,2,698,8662.668907,5840.301538,954
500,42,2,697,8662.668907,5840.301538,954
500,42,2,237,8751.538305,5570.823843,915
510,42,2,698,8641.488401,5815.022944,954
510,42,2,697,8641.488401,5815.022944,954
510,42,2,237,8751.538305,5570.823843,915
520,42,2,698,8617.743663,5792.136080,954
520,42,2,697,8617.743663,5792.136080,954
520,42,2,237,8751.538305,5570.823843,915
530,42,2,698,8594.479030,5768.761351,954
530,42,2,697,8594.479030,5768.761351,954
530,42,2,237,8733.448914,5550.237223,914
540,42,2,698,8570.588775,5746.026425,914
540,42,2,697,8570.588775,5746.026425,914
540,42,2,237,8713.863404,5531.068425,914
550,42,2,698,8544.060024,5726.434425,914
550,42,2,697,8544.060024,5726.434425,914
550,42,2,237,8692.902565,5513.414015,914
560,42,2,698,8515.904195,5709.262633,914
560,42,2,697,8515.904195,5709.262633,914
560,42,2,237,8674.037354,5493.535916,874
570,42,2,698,8494.506475,5684.167640,913
570,42,2,697,8494.506475,5684.167640,913
570,42,2,237,8654.704932,5474.111898,874
580,42,2,698,8469.147497,5663.083443,913
580,42,2,697,8469.147497,5663.083443,913
580,42,2,237,8634.319007,5455.796629,874
590,42,2,698,8446.235116,5639.363326,913
590,42,2,697,8446.235116,5639.363326,913
590,42,2,237,8615.979664,5435.432359,874
600,42,2,698,8424.352370,5614.690131,913
600,42,2,697,8424.352370,5614.690131,913
600,42,2,237,8600.049076,5413.133225,874
610,42,2,698,8397.314591,5595.806815,913
610,42,2,697,8397.314591,5595.806815,913
610,42,2,237,8600.049076,5413.133225,874
620,42,2,698,8373.719485,5572.765720,913
620,42,2,697,8373.719485,5572.765720,913
620,42,2,237,8600.049076,5413.133225,874
630,42,2,698,8373.719485,5572.765720,913
630,42,2,697,8373.719485,5572.765720,913
630,42,2,237,8600.049076,5413.133225,874
640,42,2,698,8373.719485,5572.765720,913
640,42,2,697,8373.719485,5572.765720,913
640,42,2,237,8600.049076,5413.133225,874
650,42,2,698,8373.719485,5572.765720,913
650,42,2,697,8373.719485,5572.765720,913
650,42,2,237,8600.049076,5413.133225,874
660,42,2,698,8373.719485,5572.765720,913
660,42,2,697,8373.719485,5572.765720,913
660,42,0,662,8425.729016,6040.242373,993
660,42,0,661,8425.729016,6040.242373,993
660,42,2,237,8600.049076,5413.133225,874
670,42,2,698,8373.719485,5572.765720,913
670,42,2,697,8373.719485,5572.765720,913
670,42,2,662,8313.592727,5938.530062,953
670,42,2,661,8313.592727,5938.530062,953
670,42,2,237,8580.026950,5394.420943,874
680,42,2,698,8373.719485,5572.765720,913
680,42,2,697,8373.719485,5572.765720,913
680,42,2,662,8313.592727,5938.530062,953
680,42,2,661,8313.592727,5938.530062,953
680,42,2,237,8562.559765,5373.303831,874
690,42,2,698,8349.327665,5550.569768,913
690,42,2,697,8349.327665,5550.569768,913
690,42,2,662,8313.592727,5938.530062,953
690,42,2,661,8313.592727,5938.530062,953
690,42,2,237,8562.559765,5373.303831,874
700,42,2,698,8325.527055,5527.741012,913
700,42,2,697,8325.527055,5527.741012,913
700,42,2,662,8313.592727,5938.530062,953
700,42,2,661,8313.592727,5938.530062,953
700,42,2,237,8562.559765,5373.303831,874
710,42,1,698,8306.102164,5501.089657,913
710,42,1,697,8306.102164,5501.089657,913
710,42,2,662,8313.592727,5938.530062,953
710,42,2,661,8313.592727,5938.530062,953
710,42,2,237,8562.559765,5373.303831,874
720,42,2,662,8313.592727,5938.530062,953
720,42,2,661,8313.592727,5938.530062,953
720,42,1,237,8544.566906,5352.632787,874
730,42,2,662,8313.592727,5938.530062,953
730,42,2,661,8313.592727,5938.530062,953
740,42,2,662,8313.592727,5938.530062,953
740,42,2,661,8313.592727,5938.530062,953
750,42,2,662,8216.059838,5822.740265,952
750,42,2,661,8216.059838,5822.740265,952
760,42,2,662,8216.059838,5822.740265,952
760,42,2,661,8216.059838,5822.740265,952
770,42,2,662,8216.059838,5822.740265,952
770,42,2,661,8216.059838,5822.740265,952
780,42,2,662,8216.059838,5822.740265,952
780,42,2,661,8216.059838,5822.740265,952
790,42,2,662,8216.059838,5822.740265,952
790,42,2,661,8216.059838,5822.740265,952
800,42,2,662,8110.765946,5713.960038,912
800,42,2,661,8110.765946,5713.960038,912
810,42,2,662,8110.765946,5713.960038,912
810,42,2,661,8110.765946,5713.960038,912
820,42,2,662,8110.765946,5713.960038,912
820,42,2,661,8110.765946,5713.960038,912
830,42,2,662,8110.765946,5713.960038,912
830,42,2,661,8110.765946,5713.960038,912
840,42,2,662,8110.765946,5713.960038,912
840,42,2,661,8110.765946,5713.960038,912
850,42,2,662,8110.765946,5713.960038,912
850,42,2,661,8110.765946,5713.960038,912
860,42,2,662,8110.765946,5713.960038,912
860,42,2,661,8110.765946,5713.960038,912
870,42,2,662,8110.765946,5713.960038,912
870,42,2,661,8110.765946,5713.960038,912
880,42,2,662,8110.765946,5713.960038,912
880,42,2,661,8110.765946,5713.960038,912
890,42,1,662,8000.947546,5609.749384,912
890,42,1,661,8000.947546,5609.749384,912
