t,AntennaId,EventCode,PhoneId,x,y,TileId
40,8,0,685,8023.639432,4074.659075,672
50,8,2,685,7895.167234,4187.915410,671
60,8,2,685,7757.591896,4289.920948,711
70,8,1,685,7620.544006,4392.634039,710
150,8,0,669,8021.876741,4045.909780,672
160,8,2,669,7932.277774,4175.612653,671
170,8,2,669,7811.879251,4277.372203,711
180,8,2,669,7811.879251,4277.372203,711
190,8,2,669,7811.879251,4277.372203,711
200,8,2,669,7811.879251,4277.372203,711
210,8,2,669,7811.879251,4277.372203,711
220,8,1,669,7696.221599,4384.489513,710
