"tile","time","probL"
1085,0,1.53073906058734e-09
1086,0,1.20704192675084e-07
1087,0,3.28348144062469e-06
1088,0,2.56056252382555e-07
1089,0,1.82661322315836e-06
1125,0,7.20691532802334e-06
1126,0,0.00105281007635218
1127,0,0.0116777709734514
1128,0,0.00134172834800253
1129,0,0.00592146158858877
1130,0,2.44310722630878e-06
1164,0,3.0505883852312e-11
1165,0,1.10015172522753e-05
1166,0,0.00986313821466937
1167,0,0.00839949984090754
1168,0,0.0103939723668574
1169,0,0.00346304816955049
1170,0,4.64682358663171e-07
1204,0,1.07350020376783e-09
1205,0,0.000290141112016647
1206,0,0.0187006740538657
1207,0,0.0574581218223515
1208,0,0.0177754195229536
1209,0,0.0241461802888575
1210,0,9.80774891376868e-06
1244,0,4.24108120822026e-08
1245,0,0.00121973042345821
1246,0,0.0418245049497138
1247,0,0.0442025555861183
1248,0,0.0358836336376825
1249,0,0.0129291297984491
1250,0,1.47666164991926e-06
1284,0,1.85921644330179e-06
1285,0,0.0116034985769208
1286,0,0.0620350963094827
1287,0,0.10006736169054
1288,0,0.0445151325477553
1289,0,0.0368555769129489
1290,0,1.47419875267982e-05
1325,0,0.0218219175700121
1326,0,0.0539314048247728
1327,0,0.0680707566728326
1328,0,0.0407537281964721
1329,0,0.0179998842786049
1330,0,1.604693419064e-06
1365,0,0.0129529579213774
1366,0,0.05703313002221
1367,0,0.0595724440647034
1368,0,0.0407056403359872
1369,0,0.022782350506282
1370,0,1.56757074899721e-06
1407,0,0.031700723807889
1408,0,0.0107494548145131
1409,0,0.00024771409678105
1410,0,7.45347886653915e-11
1125,10,2.1107169055051e-10
1126,10,3.54348354898511e-06
1127,10,7.44049228737407e-07
1128,10,8.39009113213629e-06
1164,10,4.08883040767412e-13
1165,10,4.2002605812741e-06
1166,10,0.014485051833
1167,10,0.00483512118946335
1168,10,0.0271972016505138
1169,10,1.12218482449519e-05
1204,10,1.57597440533024e-11
1205,10,9.76428906066747e-05
1206,10,0.0102188401801559
1207,10,0.0346869811621763
1208,10,0.0148262315209317
1209,10,1.69413618417275e-06
1244,10,8.32990618615258e-09
1245,10,0.00124806539876781
1246,10,0.0652522826751413
1247,10,0.0641896552065186
1248,10,0.0831275753798632
1249,10,3.37613117711779e-05
1284,10,4.15198631100546e-07
1285,10,0.0068450163747544
1286,10,0.0599072993396821
1287,10,0.0886560245130984
1288,10,0.0412842425391756
1289,10,3.76295225680657e-06
1325,10,0.0268486200798033
1326,10,0.0924796825477414
1327,10,0.111950644574356
1328,10,0.0841028362442116
1329,10,2.79864310018104e-05
1365,10,0.00516803608507121
1366,10,0.0540193086555682
1367,10,0.0392080236486373
1368,10,0.0299262491772523
1369,10,1.62101730926696e-06
1407,10,0.0283974968476028
1408,10,0.0109444283852379
1409,10,9.25636324063741e-08
1164,20,6.33863554397504e-16
1165,20,2.22657272840074e-08
1166,20,1.12707470189949e-06
1167,20,2.96090953826824e-05
1204,20,1.22332182892797e-10
1205,20,0.000310097446689965
1206,20,0.00919890279631253
1207,20,0.100516259670504
1208,20,5.09694276831708e-05
1244,20,1.37794208924385e-08
1245,20,0.00097985750926199
1246,20,0.0550010741653907
1247,20,0.0524159662566471
1248,20,5.74341205047108e-06
1284,20,1.7363540320945e-06
1285,20,0.017789629152058
1286,20,0.133356890829401
1287,20,0.21440409140656
1288,20,9.93657874963581e-05
1325,20,0.0321234100983134
1326,20,0.0899862964714672
1327,20,0.0936286664381233
